Time (s),Voltage (V),Current (A),Temperature (C)
0,33.0,4.6,27
1,32.99916643512087,4.604188483976671,27
2,32.99833287024173,4.60837513074584,27
3,32.9974993053626,4.6125581039058625,27
4,32.996665740483465,4.616735568666463,27
5,32.995832175604335,4.620905692653531,27
6,32.994998610725204,4.6250666467128605,27
7,32.99416504584607,4.629216605712482,27
8,32.99333148096694,4.63335374934322,27
9,32.9924979160878,4.637476262917144,27
10,32.99166435120867,4.641582338163552,27
11,32.99083078632954,4.645670174022131,27
12,32.9899972214504,4.649737977432971,27
13,32.98916365657127,4.653783964123053,27
14,32.988330091692134,4.657806359388894,27
15,32.987496526813004,4.661803398874989,27
16,32.986662961933874,4.665773329347716,27
17,32.98582939705474,4.669714409464363,27
18,32.984995832175606,4.673624910536935,27
19,32.98416226729647,4.677503117290421,27
20,32.98332870241734,4.68134732861516,27
21,32.98249513753821,4.685155858313014,27
22,32.98166157265907,4.6889270358369854,27
23,32.98082800777994,4.692659207023972,27
24,32.979994442900804,4.696350734820343,27
25,32.97916087802167,4.699999999999999,27
26,32.978327313142536,4.703605401874626,27
27,32.977493748263406,4.707165358995799,27
28,32.976660183384276,4.710678309848668,27
29,32.97582661850514,4.714142713536886,27
30,32.97499305362601,4.7175570504584945,27
31,32.97415948874687,4.7209198229724745,27
32,32.97332592386774,4.724229556055661,27
33,32.97249235898861,4.727484797949738,27
34,32.97165879410947,4.730684120798021,27
35,32.97082522923034,4.733826121271771,27
36,32.969991664351205,4.736909421185738,27
37,32.969158099472075,4.739932668102672,27
38,32.968324534592945,4.742894535926561,27
39,32.96749096971381,4.745793725484282,27
40,32.96665740483468,4.748628965095478,27
41,32.96582383995554,4.751399011130351,27
42,32.96499027507641,4.754102648555158,27
43,32.96415671019728,4.756738691465167,27
44,32.96332314531814,4.759305983604839,27
45,32.96248958043901,4.7618033988749895,27
46,32.961656015559875,4.76422984182674,27
47,32.960822450680745,4.76658424814202,27
48,32.959988885801614,4.768865585100403,27
49,32.95915532092248,4.771072852032101,27
50,32.95832175604335,4.773205080756887,27
51,32.95748819116421,4.775261336008772,27
52,32.95665462628508,4.777240715846243,27
53,32.95582106140595,4.779142352047883,27
54,32.95498749652681,4.780965410493204,27
55,32.95415393164768,4.7827090915285195,27
56,32.953320366768544,4.7843726303177,27
57,32.952486801889414,4.78595529717765,27
58,32.951653237010284,4.787456397898378,27
59,32.950819672131146,4.788875274047496,27
60,32.949986107252016,4.7902113032590306,27
61,32.94915254237288,4.791463899506413,27
62,32.94831897749375,4.792632513359531,27
63,32.94748541261462,4.793716632225726,27
64,32.94665184773548,4.794715780574632,27
65,32.94581828285635,4.795629520146761,27
66,32.94498471797721,4.796457450145738,27
67,32.94415115309808,4.797199207414101,27
68,32.94331758821895,4.7978544665925975,27
69,32.942484023339816,4.7984229402628955,27
70,32.941650458460686,4.7989043790736545,27
71,32.94081689358155,4.7992985718499,27
72,32.93998332870242,4.799605345685654,27
73,32.93914976382329,4.799824566019772,27
74,32.93831619894415,4.799956136694969,27
75,32.93748263406502,4.8,27
76,32.93664906918588,4.799956136694969,27
77,32.93581550430675,4.799824566019772,27
78,32.934981939427615,4.799605345685654,27
79,32.934148374548485,4.7992985718499,27
80,32.933314809669355,4.7989043790736545,27
81,32.93248124479022,4.7984229402628955,27
82,32.93164767991109,4.7978544665925975,27
83,32.93081411503195,4.797199207414101,27
84,32.92998055015282,4.796457450145738,27
85,32.92914698527369,4.795629520146761,27
86,32.92831342039455,4.794715780574632,27
87,32.92747985551542,4.793716632225726,27
88,32.926646290636285,4.792632513359531,27
89,32.925812725757154,4.791463899506413,27
