time_days,cycle,temperature,current,voltage,SOH_real
1,1,25.2347704275046,10.8813244482021,3.65779648624909,1
2,2,24.9395166250456,15.5911766265001,3.63928832897793,0.996859734255166
3,3,24.3154023826002,13.4093924164162,3.64469090747217,0.991603952256436
4,4,25.477878116962,23.5420111953935,3.73983475126862,1
5,5,25.3684826433688,28.0483585665246,3.71386763157823,0.989584813425015
6,6,24.9048171387421,17.0397464331369,3.70717760002133,0.970511679797073
7,7,25.0411021176164,12.0031703216429,3.73902006445766,0.984486691163452
8,8,25.0368249426486,25.8600447146894,3.74287207079239,0.984641601601836
9,9,25.0891904717624,19.3686485806994,3.66871809563147,1
10,10,25.3859211893441,23.7468241378712,3.61385563606118,1
11,11,24.8198390817303,23.6615705749483,3.62710788725943,0.989823293682939
12,12,25.7944956231157,18.4287177173931,3.74504122603174,0.99804553180196
13,13,24.4276291594788,23.1868505224193,3.72354064333253,0.974966318344192
14,14,24.839024286771,22.6685425841861,3.63031971630062,0.990221564804637
15,15,24.5995628027299,20.502920175327,3.67926655032549,0.985473253500604
16,16,24.6671287852006,13.8256289964431,3.69679747706145,1
17,17,24.1740320870443,20.2381201948166,3.70590110901589,1
18,18,25.5828685031021,24.9666052560695,3.69694231983006,0.978800805413882
19,19,25.0381408702672,18.3965383333207,3.65844883407296,0.95057584381233
20,20,24.9365406287461,24.7495883895557,3.75517644736179,0.989791990959356
21,21,25.0481076572511,23.7293546780894,3.67500614119614,1
22,22,24.6446222232469,29.1145202508534,3.65252784790225,1
23,23,24.815023188384,16.1581292266033,3.60193687971282,0.999317305587694
24,24,25.4486868526025,16.84601725099,3.636217206923,1
25,25,24.966716181799,17.7406714401134,3.83782757522903,0.966946688149409
26,26,25.2555110524812,10.5235181071687,3.67013808705446,0.959832570494641
27,27,25.3276827150711,22.6709281023426,3.77417702105689,0.993552691177668
28,28,25.5140800780521,21.3050211809041,3.67396415828284,0.980685122170482
29,29,24.7325138834289,17.3102282566246,3.75109942658589,0.959450236571198
30,30,24.6273699624378,18.4291739771836,3.67028310390121,0.996682250173285
31,31,25.1897231600667,19.2440054405862,3.66444923063444,1
32,32,24.52858499225,16.2887755211445,3.71772846897939,0.986578141802388
33,33,25.5877972286535,14.5132338269682,3.70797781442908,0.986364169892507
34,34,24.4633309793008,12.318737681415,3.73471852056927,0.982643378396343
35,35,25.5458074964296,12.6793221135637,3.67477012424704,0.965408911356681
36,36,25.8132245667878,28.9304688732113,3.72791914342472,0.979366783202277
37,37,24.3557518386185,19.8486594253679,3.66501005916087,0.995463986801559
38,38,25.5910568222419,24.9642725389284,3.7412315669469,0.954900288405979
39,39,25.2594925048608,16.2187031909754,3.73316806395943,0.996228313961984
40,40,25.0578287984725,10.1541056953431,3.71484040415766,1
41,41,24.8810174884443,22.3124334218096,3.64714199793746,0.974225966022814
42,42,24.9071491537476,17.1514667856052,3.61749784741601,0.973052696310013
43,43,25.4414595225883,22.976581421138,3.66998835093451,1
44,44,24.6766493196669,26.9195445721395,3.70620928209852,0.983625410390708
45,45,24.6951020185782,12.0270642403949,3.62316016851563,0.982437773892066
46,46,26.5451567612898,21.7660366864356,3.72566350544146,0.96995084963776
47,47,25.7957479110815,21.6476437721317,3.7806292489101,0.956021555463108
48,48,25.5436275371321,20.4360752150422,3.67648108147984,0.962716877654305
49,49,25.479004157402,19.0919965975305,3.69274258891237,0.979494678017771
50,50,24.9873131461456,29.3340401012798,3.64854781537386,0.952188356082338
51,51,24.1302248932034,13.6461391531282,3.6970737652694,0.969324930717318
52,52,24.9044859505304,21.1878425760743,3.6559051556843,0.95461779896302
53,53,25.3807191258382,22.529489787821,3.75169022881961,0.941918454845497
54,54,25.3357783244409,10.6025999454848,3.73850463719007,1
55,55,25.8022173083594,22.8454611454382,3.71165162018468,0.984925632902208
56,56,25.6110816582424,26.7632226345356,3.68589075258081,0.962808877692075
57,57,25.2269135382497,17.9027203321293,3.7815309950333,0.989277393119966
58,58,24.7241365320606,18.7468440611648,3.59210046679805,0.967392958289881
59,59,24.8586643418789,11.6976555614257,3.71761163370726,0.974574176191242
60,60,25.2553088276919,21.6275494803824,3.73357861562678,0.973115543216844
61,61,24.7644960082165,27.4336395288265,3.70227494916233,0.969970363654295
62,62,24.7776215651984,14.1381415418202,3.76612564127743,0.963589484112308
63,63,25.7271860603737,11.8922006447265,3.66085238209933,0.962505966946091
64,64,24.9331095411001,13.7590439886664,3.70303805374452,0.947657517439733
65,65,24.209380947326,23.3567315348412,3.76824728619692,0.985090791880559
66,66,23.9036242876366,24.6484181100502,3.65522297257876,0.954960592810522
67,67,25.1225966470729,22.620208977835,3.76300460884087,0.959484991582682
68,68,24.7604699028449,19.3641230996275,3.61165339554764,0.938251782981067
69,69,24.8012898583517,16.2872466203754,3.68855777644514,0.959744470223949
70,70,24.9301901702936,22.8293332462476,3.77140999631387,0.988521519353281
71,71,25.0186162955392,21.240537907686,3.72753181514701,0.93566517582891
72,72,24.490447858165,23.2745333850043,3.69973995632704,0.971738159372145
73,73,24.9873265672922,12.4975408882935,3.71288845543233,0.927419291053648
74,74,23.9021679160354,23.4805435041432,3.6546775964565,0.966833270519177
75,75,24.5330629635979,23.6062255644175,3.62516749160587,0.986271997424928
76,76,24.80291768347,28.6024028812389,3.59566086980275,0.957391348208595
77,77,25.1386941000647,26.5763938228288,3.73025682859723,0.931206551669019
78,78,25.1389068866069,13.5620070931452,3.60393512480882,0.988084922068715
79,79,25.6333779257178,28.9848125446617,3.71971643329956,0.932105540320597
80,80,25.8411614015358,13.9924569788392,3.60945044157683,0.939045594581056
81,81,25.2224801011486,14.3536132356944,3.72512828521348,0.960666015633056
82,82,24.5867126230073,10.1704387451837,3.71375631399227,0.958803754987815
83,83,25.2666297756284,16.0125315689023,3.70829331108553,0.949166584130285
84,84,25.6263457658755,15.4894164546028,3.68093090879576,0.955161998199063
85,85,25.5641255066918,21.7289690147126,3.76282138199697,0.95824745269933
86,86,25.051239356572,17.9310569496631,3.74219406378014,0.945520317358728
87,87,24.27219798878,13.7280554769748,3.63820513354809,0.953610493629824
88,88,24.3556426569831,17.8563279733662,3.67394869450563,0.940285421724346
89,89,24.8169475460961,13.0918767963553,3.72075926940038,0.93669078059684
90,90,25.2603102361977,26.646089087397,3.68104267847247,0.936273926009415
91,91,24.7052962970193,12.9950414840299,3.75373291646772,0.947470747447687
92,92,24.2155852614345,23.5909190340462,3.637036807678,0.925090610973221
93,93,25.6604949408283,25.0017996697709,3.72622514656614,0.930718808234332
94,94,24.7737192590526,10.297800164263,3.73622446576682,0.941678096076345
95,95,25.5001867513364,12.8449299622614,3.71726176460232,0.950639490460127
96,96,25.2185521470676,10.6131120848994,3.71236221109438,0.938794776585682
97,97,24.3473713097176,26.1739102547585,3.63216551442894,0.942235510020164
98,98,25.0275715728149,10.9429191061989,3.78319563558295,0.929087417213056
99,99,25.3369332128949,23.3236295620459,3.69300108525884,0.910654123640494
100,100,24.6571342307055,19.1206487116626,3.63669239520765,0.928405910308579
101,101,24.6528416377742,26.0599275857222,3.65051529146078,0.928031149177616
102,102,25.1601630003675,17.1687781164188,3.62771438932869,0.967885038827166
103,103,24.4810763971273,10.5066809020885,3.65325794015308,0.959163646939057
104,104,24.6591544284799,14.3717631258623,3.73055704114918,0.948269754415145
105,105,25.6629042836294,24.2182980006958,3.68348687607451,0.961930455284877
106,106,24.8280853621152,20.978415725685,3.70952673510986,0.938514214445613
107,107,25.2273288926625,27.3938606538798,3.74041211170964,0.924894477132715
108,108,24.7555937230195,24.7767131158811,3.66664004386658,0.952837747581016
109,109,24.2281688657371,12.0646026485941,3.73786511727849,0.921502992951192
110,110,24.7607786953897,29.428664285695,3.69070975083086,0.918855239323634
111,111,24.7192326321496,24.7742521509814,3.68517731560648,0.944715538809155
112,112,25.100540294807,10.2771515365003,3.71651116552646,0.921632734142673
113,113,24.7484765601553,23.5824333213388,3.69130351296051,0.911822913336586
114,114,25.5051958079835,19.7100546208901,3.6710515180061,0.916324339977195
115,115,23.972096469148,10.6943670093257,3.78501060433527,0.918716344967408
116,116,25.194495027395,12.288792410416,3.70242268615881,0.903434989920806
117,117,24.7338889782575,11.5325022129816,3.70108846261159,0.915416172672639
118,118,25.4822986555588,22.1564935665367,3.67979735144514,0.940199307209427
119,119,25.0341221531423,14.6693170399036,3.62653781267743,0.972357446125134
120,120,25.8159272622587,12.8402288709805,3.76257947922037,0.916711411881915
121,121,24.795742059344,20.6034639652683,3.65186678761972,0.939828008146933
122,122,24.8412443388116,28.6060267645787,3.70567826334913,0.962855776934415
123,123,25.2376266335283,22.338055405988,3.70282624012377,0.926336620844748
124,124,25.5267423012273,23.7978383522746,3.75739280884149,0.918462456718747
125,125,24.3960326006581,14.6885173334356,3.68734620049476,0.929649819366824
126,126,23.6749770774827,14.1368771984699,3.65908147187992,0.929007062487131
127,127,24.9047931318714,10.7473253183382,3.67172438072866,0.907796427229143
128,128,25.1244547554843,23.2672993195674,3.70685943084434,0.925921200678313
129,129,25.7615933508268,20.1450914125251,3.69046691118029,0.911192253065361
130,130,24.8696514179934,19.7160089865437,3.626421329507,0.900500759701403
131,131,25.0459071044758,27.2339001743747,3.75169741608541,0.924213874415659
132,132,25.3352366770168,29.3102980889257,3.67605169264905,0.939224206500694
133,133,24.6907619407887,25.1937587064626,3.82610967310117,0.932596404249046
134,134,24.4930017742961,14.9335889618367,3.69925277567195,0.920075014154908
135,135,24.8850395925782,23.5253492200602,3.68727755055658,0.93349384752796
136,136,24.1116778999204,25.18610889481,3.70428494884777,0.940420835108245
137,137,25.2527726522014,21.7237962809672,3.7110636978334,0.915420546874377
138,138,24.4818234376863,26.4487853411258,3.7273793494263,0.911079212944893
