time_s,current_A,voltage_ADC_V,temperature_C,soc_real
0,4.613965167421589,1.1769301741628921,27,0.9998931952507542
1,4.606502463118877,1.1769674876844056,27,0.999786563249293
2,4.681328040606459,1.1765933597969678,27,0.999678199174279
3,4.51561461225751,1.1774219269387125,27,0.9995736710582546
4,4.425632739760346,1.1778718363011982,27,0.9994712258559453
5,4.615682301609819,1.1769215884919508,27,0.9993643813582228
6,4.62812304922186,1.1768593847538908,27,0.9992572488802316
7,4.748959940944765,1.1762552002952762,27,0.999147319251969
8,4.472963795367491,1.1776351810231627,27,0.9990437784233724
9,4.715469376671671,1.1764226531166417,27,0.9989346240396533
10,4.836741436402712,1.1758162928179865,27,0.9988226624323291
11,4.562223511247752,1.1771888824437613,27,0.9987170554066057
12,4.470905778050677,1.1776454711097466,27,0.998613562217299
13,4.559302563362663,1.1772034871831867,27,0.9985080228061101
14,4.601400496737138,1.1769929975163143,27,0.9984015089057227
15,4.6563787875006915,1.1767181060624965,27,0.9982937223597157
16,4.540860527016195,1.1772956973649191,27,0.9981886098475162
17,4.755519853414734,1.1762224007329265,27,0.9980785283694279
18,4.4885467684991935,1.177557266157504,27,0.9979746268238608
19,4.426079484782719,1.1778696025760864,27,0.9978721712802316
20,4.710671042428731,1.1764466447878563,27,0.9977631279690643
21,4.37253789687938,1.1781373105156032,27,0.997661911814044
22,4.579587023112728,1.1771020648844364,27,0.9975559028551756
23,4.911768112920805,1.175441159435396,27,0.9974422045192283
24,4.598795644704007,1.17700602177648,27,0.9973357509163416
25,4.487923234930375,1.1775603838253481,27,0.997231863804422
26,4.594260253621321,1.1770286987318934,27,0.99712551518744
27,4.594919921138047,1.1770254003943097,27,0.9970191513003767
28,4.616064994035312,1.1769196750298234,27,0.9969122979440332
29,4.666226298215961,1.1766688685089202,27,0.9968042834463893
30,4.4960888831632255,1.1775195555841838,27,0.9967002073148347
31,4.768754805523679,1.1761562259723815,27,0.9965898194721141
32,4.624511428437262,1.1768774428578137,27,0.9964827705964558
